country,negative_count,neutral_count,positive_count
Albania,0,0,4
Algeria,1,5,6
Angola,1,0,0
Antarctica,0,2,0
Argentina,5,8,11
Armenia,0,1,4
Aruba,1,0,0
Asia,0,1,0
Australi,0,0,1
Australia,111,240,310
Austria,20,39,46
Azerbaijan,0,1,0
Bahamas,1,0,0
Bahrain,1,1,3
Bangladesh,4,21,24
Barbados,1,0,0
Belaru,2,0,1
Belgiu,1,1,1
Belgium,32,64,49
Bhutan,2,0,0
Bolivia,0,1,0
Bosnia and Herzegovina,1,2,5
Botswana,0,0,2
Brazil,5,34,32
Bulgaria,0,1,0
CT,5,5,4
Cambodia,0,1,1
Cameroon,0,7,4
Canad,3,3,2
Canada,189,484,537
Cayman Islands,0,1,0
Chile,1,2,4
Chin,0,5,0
China,14,35,45
Colombia,1,10,2
Costa Rica,6,4,5
Croatia,2,7,5
Cuba,0,0,1
Cyprus,4,12,12
Czech Republi,0,0,1
Czech Republic,11,15,19
Democratic Republic of the Congo,2,0,0
Denmark,17,35,51
Djibouti,1,1,1
Dominican Republic,0,1,1
Ecuador,0,2,2
Egyp,0,1,0
Egypt,3,9,7
England,1,3,5
Estonia,3,8,10
Ethiopia,0,0,3
Faroe Islands,0,0,2
Finlan,0,1,1
Finland,10,40,38
Franc,0,4,2
France,63,188,166
Gambi,0,0,1
Georgia,1,7,2
German,0,3,3
Germany,150,370,449
Ghana,1,22,15
Gibraltar,0,5,5
Greece,2,16,15
Greenland,1,0,0
Guatemala,0,1,1
Haiti,2,4,2
Honduras,0,0,1
Hong Kong,0,0,2
Hungary,1,12,15
Iceland,0,1,1
Indi,3,6,3
India,274,936,834
India / United Arab Emirates,0,2,0
Indonesia,8,25,41
Iran,0,2,0
Iraq,0,3,3
Irelan,0,0,1
Ireland,11,41,59
Israel,19,49,47
Ital,1,0,0
Italy,41,108,87
Jamaica,2,4,2
Japan,16,40,29
Jordan,0,3,1
Kazakhstan,0,0,1
Keny,1,0,1
Kenya,9,66,63
Kenya / Rwanda,0,0,1
"Korea, South",0,0,1
Kosovo,0,0,2
Kuwait,1,2,9
Kyrgyzstan,0,2,1
Latvia,0,1,1
Lebanon,2,4,1
Libya,1,0,0
Lithuania,5,5,5
Luxembourg,4,7,10
MA,4,13,16
MD,0,1,0
Macau,0,1,1
Madagascar,2,1,0
Malaw,0,0,1
Malawi,0,0,1
Malaysia,12,21,20
Maldives,3,7,5
Malta,0,3,3
Mauritius,0,0,1
Mexic,0,2,1
Mexico,10,24,23
Milky Way,0,1,0
Moldova,1,5,8
Montenegro,1,1,1
Morocco,4,4,6
N,0,0,1
NV,0,0,1
Na,0,1,0
Namibia,0,1,0
Nepal,0,4,5
Netherland,6,16,13
Netherlands,34,105,149
New Zealand,11,25,32
Nigeri,1,2,2
Nigeria,25,72,77
North Macedonia,1,2,0
Norwa,0,1,2
Norway,9,30,41
Oman,0,1,0
Pakistan,15,91,71
Panama,2,6,0
Papua New Guinea,0,0,1
Peru,0,2,3
Philippines,3,15,23
Poland,22,29,63
Poland / Ukraine,0,2,0
Portuga,0,0,1
Portugal,31,54,57
Puerto Rico,2,3,1
Qatar,0,2,2
Romania,13,13,18
Russia,1,8,2
Rwanda,2,5,5
Saudi Arabia,1,5,11
Scotland,0,7,11
Senegal,0,4,5
Serbi,0,0,1
Serbia,3,4,8
Seychelles,1,0,0
Sierra Leone,0,2,0
Singapor,0,1,0
Singapore,20,91,157
Slovakia,0,4,7
Slovenia,1,2,6
Somalia,0,1,2
South Afric,1,2,1
South Africa,20,60,68
South Korea,7,14,7
Spai,0,2,7
Spain,34,90,100
Sri Lanka,4,28,19
Sudan,0,2,0
Suriname,1,1,0
Swede,0,0,1
Sweden,34,72,67
Sweden / Australia,0,0,1
Switzerlan,0,0,1
Switzerland,43,108,110
Taiwan,7,5,14
Tanzania,3,4,5
Thailand,6,15,23
The Bahamas,1,4,1
Togo,0,1,1
Trinidad and Tobago,0,2,0
Tunisia,2,4,2
Turkey,14,42,34
U,4,10,18
UAE,1,4,1
UK,2,2,5
Uganda,8,12,11
Uganda / Germany,0,1,0
Ukrain,0,1,0
Ukraine,4,18,9
United Arab Emirates,13,69,46
United Kingdom,273,796,865
United Kingdom / Spain,0,0,1
United States / India / United Kingdom / United Arab Emirates,0,1,1
United States / Malaysia / India,0,0,1
United States / Mexico / India,1,1,2
United States / Netherlands,0,1,0
United States / United Kingdom,0,0,2
United States of America,1144,3009,3449
Unknown,3,15,11
Uruguay,0,1,2
Uzbekista,0,1,0
Uzbekistan,0,1,0
Venezuela,2,3,1
Vietna,0,1,0
Vietnam,2,7,13
Yemen,0,0,2
Zambia,2,1,3
Zimbabwe,1,2,1
undefined,5,10,14
