user_name,text,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_spam,preprocessed_text,label_vader,label_textblob,label_roberta,label_human
Rifka Lightwala,"Chatgpt is giving nostalgia to the gen-x to the the time when google was launched and gen-z can’t just get over it😂

#ChatGPT #elonmusk #Revolution",,,2021-05-29 18:16:28+00:00,2.0,57.0,10,False,2022-12-09 11:20:40+00:00,,Twitter for iPhone,not_spam,chatgpt give nostalgia time googl launch get chatgpt elonmusk revolut,0,0,1,1
Rolf Drechsler,This AI #chatbot is dominating #socialmedia with its frighteningly good essays  https://t.co/s9DwwQsbjy #OpenAI #ChatGPT #MachineLearning #DeepLearning #ArtificialIntelligence,"Bremen, Germany","Professor for Computer Architecture (@agra_uni_bremen) at @UniBremen. Dean. Director at @DFKI, Head of the Cyber-Physical Systems Group, @noerdman, @noerd_man",2011-11-20 20:52:14+00:00,1489.0,65.0,3271,False,2022-12-06 08:37:11+00:00,"['chatbot', 'socialmedia', 'OpenAI']",Twitter Web App,not_spam,ai chatbot domin socialmedia frighteningli good essay openai chatgpt machinelearn deeplearn artificialintellig,1,1,1,1
M Kiran Kumar,"Dec ""4""...Truth brings reconciliation 😉
#Dictionary #ChatGPT 
@elonmusk https://t.co/H8L73L4U8f","Karimnagar, India","I am a lifelong learner
https://t.co/a7aIOfJiIi",2016-10-15 10:37:37+00:00,135.0,257.0,25272,False,2022-12-09 05:44:18+00:00,"['Dictionary', 'ChatGPT']",Twitter Web App,not_spam,dec 4 truth bring reconcili dictionari chatgpt elonmusk,1,0,1,0
Sam D.,"Here is an article about the Future of #NFTs w #chatgpt

It smells like #WEB4

https://t.co/u5aTNeZu70",Amsterdam/Netherlands,CEO @ginoa_io,2022-09-14 14:44:42+00:00,107.0,275.0,38,False,2022-12-07 10:28:10+00:00,"['NFTs', 'chatgpt', 'WEB4']",Twitter Web App,not_spam,articl futur nft w chatgpt smell like web4,1,0,1,0
Orrin Ward,It's the end of the year review season at work. Multiple times today I've seen #ChatGPT be unavailable due to high load... I don't think this is a coincidence.,London,"DesignOps @Checkout. Formerly Delivery/Product/Agile Coaching @Zopa, @appsforgoodcdi, @leemailme and @absoluteradio. I'm very silly.",2008-09-18 10:03:58+00:00,236.0,445.0,431,False,2022-12-19 17:11:41+00:00,['ChatGPT'],Twitter Web App,not_spam,end year review season work multipl time today seen chatgpt unavail due high load think coincid,0,0,-1,0
Weird ChatGPT,Full stack cavemen CV chatGPT via /r/weirdGPT #chatGPT https://t.co/Ylx3IT70pA,,Weird and creative ChatGPT / GPT-3 generations,2011-07-31 18:35:03+00:00,595.0,173.0,227,False,2022-12-07 03:21:07+00:00,['chatGPT'],Buffer,not_spam,full stack cavemen cv chatgpt via chatgpt,0,1,0,0
Abdullah Al Zubaer,"Me: What do you think Holden would like the world to be?

chatGPT: Overall, it is likely that Holden would want the world to be a kinder and more genuine place, where people are able to be themselves and support one another.

#chatGPT","Passau, Germany",,2015-06-08 16:12:02+00:00,3.0,5.0,16,False,2022-12-09 15:30:10+00:00,,Twitter Web App,not_spam,think holden would like world chatgpt overal like holden would want world kinder genuin place peopl abl support one anoth chatgpt,1,0,0,1
Tommi Raivisto,"Chatbots like #chatgpt mark the beginning of the end for the search user interface, that has remained unchanged since 1994. It will impact revenue streams which must be a huge deal, for example, for Google with 4.3 billion users and $209 billion a year in advertising 1/4","Helsinki, Suomi","Product and digital guy at work, wanna-be trail runner, artist and race driver at home. The views are my own.",2009-04-16 15:06:40+00:00,125.0,146.0,415,False,2022-12-11 10:34:21+00:00,['chatgpt'],Twitter Web App,not_spam,chatbot like chatgpt mark begin end search user interfac remain unchang sinc 1994 impact revenu stream must huge deal exampl googl billion user 209 billion year advertis,1,1,0,1
Lance Pierson,"#100DaysOfCode Day 44 (12.7.22)

Experiencing “Tutorial Hell” with getting Postfix to work on the ArchiveNinja server. No success yet, nothing is complete or straight forward. I wasted my whole day on it. #ChatGPT crashed so I did not get to use it. Tomorrow is a brand new day!","California, USA","Network Technician by day, Web Developer by night.",2022-05-14 13:40:48+00:00,37.0,84.0,783,False,2022-12-08 15:29:59+00:00,['100DaysOfCode'],Twitter Web App,not_spam,100daysofcod day 44 experienc tutori hell get postfix work archiveninja server success yet noth complet straight forward wast whole day chatgpt crash get use tomorrow brand new day,-1,1,-1,-1
Halil Emre Yildiz,"#ChatGPT found the answer on the third try, even though I had already told it the answer. https://t.co/hKCVY23D5Z",,Works at @JahnStarGames 🔴⚪,2015-12-31 18:53:57+00:00,4.0,50.0,606,False,2022-12-10 22:19:53+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt found answer third tri even though alreadi told answer,0,0,0,0
curiousnewton,AI is lit 4 real ⁦@elonmusk⁩ #chatgpt 😂😂 https://t.co/n0GL4Ozpju,,to the moon,2018-03-19 15:22:40+00:00,232.0,212.0,15519,False,2022-12-07 01:06:24+00:00,['chatgpt'],Twitter for iPhone,not_spam,ai lit 4 real chatgpt,0,1,1,1
Bhupendra🌱🌐,"@P2ELabs @PiscesBaishui It's very good project
@saroj277
@CypherRusher
@NFTJITEL

#P2ELabs #Airdrop #ChatGPT",Gujarat India,"@Carbonable_io

#investor
Strong community's good team !!
Strong community's good team !!!",2020-08-19 06:14:40+00:00,291.0,2588.0,4798,False,2022-12-19 13:50:28+00:00,"['P2ELabs', 'Airdrop', 'ChatGPT']",Twitter for Android,not_spam,p2elab piscesbaishui good project saroj277 cypherrush nftjitel p2elab airdrop chatgpt,1,1,1,1
Tim,"#ChatGPT what does it mean to be love?

 ""be love"" means to make love the guiding principle in one's thoughts, words, and actions, and to strive to live in a way that reflects the love and compassion that we all possess within us.

Very nicely said!",,"God, Family, Country, Human Dignity: BE Love in all of these. Forgive yourself & everyone around you. Serve your fellowman. Create and Shine Light #LDS",2022-04-02 16:44:22+00:00,18.0,151.0,230,False,2022-12-09 22:28:35+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt mean love love mean make love guid principl one thought word action strive live way reflect love compass possess within us nice said,1,1,1,1
